70;CAD2208016;CADEIRA / RIVATTI ;SALA 2208;Bancada 2;1;;\N
102;TUW4701683;PROJETOR / EPSON / H553A;SALA 2208;Armario 1;2;;\N
204;CAD2207016;CADEIRA / RIVATTI ;SALA 2207;Bancada 2;1;;\N
222;FTX160484M1;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
223;FTX160186Q8;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
224;FTX160186RA;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
225;FTX160484LU;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
226;FTX160186RP;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
227;FTX160484N9;ROTEADOR / CISCO / 1941;SALA 2207;;2;;\N
